cartodb_id,name,description,created_at,updated_at,the_geom
17,OPIUM,"1,95€/unidad",2015-07-03 12:44:52.394291+00,2015-07-03 12:46:06.50568+00,0101000020E6100000F058220670890DC0873C388E0E384440
1,SERAFINA COCINA BAR,9.5€ Ración,2015-07-03 09:16:52.619412+00,2015-07-03 09:18:45.569283+00,0101000020E6100000DAF7F24C799E0DC0E6A1A5E14A354440
11,LA TAPE,Ración de 8 unidades por 7€,2015-07-03 12:40:34.080074+00,2015-07-03 12:41:13.01129+00,0101000020E6100000FA731B1E0CA60DC003DE1335E2364440
18,LA ENTRETENIDA," 11,40€ la docena",2015-07-03 12:46:20.065001+00,2015-07-03 12:46:43.8871+00,0101000020E6100000C40AB77C24950DC00DFFE9060A354440
3,CASA JULIO,"ración 6 unidades, 6 euros; 12 unidades, 11 euros",2015-07-03 09:21:11.701397+00,2015-07-03 09:22:25.155911+00,0101000020E6100000307777AE39A10DC02437D43950364440
2,LA CROQUETTA,3.10€/2 unidades,2015-07-03 09:19:59.765062+00,2015-07-03 09:25:10.280052+00,0101000020E6100000052450B3F65D0DC0A283899A43364440
12,BAR MELO'S,"1.60 unidad; 12 ración",2015-07-03 12:41:29.491422+00,2015-07-03 12:41:56.634306+00,0101000020E6100000C7511443CD9B0DC00D665DED72344440
19,LA GASTROCROQUETERÍA DE CHEMA,+3€/unidad,2015-07-03 12:46:50.554378+00,2015-07-03 12:47:47.655976+00,0101000020E6100000CBF852D3899F0DC0BCF20F11ED354440
13,LA VEGA DEL ARTE,"Ración de 6 croquetas, 8 euros",2015-07-03 12:42:13.525306+00,2015-07-03 12:42:40.614719+00,0101000020E610000053ED2EAB0B930DC04867052BF3344440
20,LAMBUZO,N/A,2015-07-03 12:48:16.862412+00,2015-07-03 12:48:49.621094+00,0101000020E61000005C339EAD28AA0DC0F8AF07EE9B354440
4,CASA MANOLO,"1,30€/unidad",2015-07-03 09:21:26.469858+00,2015-07-03 12:31:45.90162+00,0101000020E61000005DAE34DF77920DC0E68585A460354440
5,LA DANIELA,"2,70€/unidad",2015-07-03 09:34:06.838174+00,2015-07-03 12:33:10.932334+00,0101000020E61000009890C5EC1B6E0DC07F8461C092364440
14,JAVIER MARTÍN CROQUETAS & CAFÉ,"Ración de 6 unidades, 4.95 euros",2015-07-03 12:43:16.298722+00,2015-07-03 12:43:38.898331+00,0101000020E6100000B661B94A1CAE0DC012D89C8367344440
6,CASA PACO,"1,30€/unidad",2015-07-03 12:34:06.24564+00,2015-07-03 12:34:38.258507+00,0101000020E6100000AC600AC50CC30DC023522EE818374440
7,ASKUABARRA,2€ unidad,2015-07-03 12:34:41.88754+00,2015-07-03 12:35:40.187725+00,0101000020E6100000A592F07332970DC0BC8AD69B62354440
15,O PAZO DE LUGO,"Ración de 12 croquetas, 8 euros",2015-07-03 12:43:52.096061+00,2015-07-03 12:44:16.304259+00,0101000020E6100000C6E1276959920DC0ECAB06BC27344440
8,LA PENELA,8€ ración de 8 unidades,2015-07-03 12:35:20.876049+00,2015-07-03 12:38:27.283455+00,0101000020E6100000BDC85FB58D8A0DC0E86C5C5A683B4440
9,LA KASA,"1,50 €/ ración de 10 unidades. 6 unidades: 6 euros",2015-07-03 12:38:44.806452+00,2015-07-03 12:39:24.560746+00,0101000020E610000039D2191879990DC07FFACF9A1F394440
10,CASA LABRA," 0,90 €/unidad",2015-07-03 12:39:44.478337+00,2015-07-03 12:40:31.197849+00,0101000020E61000003DDC69C6FDA20DC00EF9C2BF63354440
16,LA ANCHA,"9,50€ 10 unidades",2015-07-03 12:44:18.014258+00,2015-07-03 12:44:50.590312+00,0101000020E61000003782F9D0AA6B0DC0C128F7F186394440
